school,team_id,head_coach,conference,expectations,firing_risk,3yrs_W,3yrs_L,yrs_left
Georgia Tech,59,Damon Stoudamire,ACC,MID,OPEN,42,55,
Kansas State,2306,Jerome Tang,Big 12,HIGH,OPEN,45,47,
Oregon State,204,Wayne Tinkle,WCC,MID,OPEN,48,47,
Providence,2507,Kim English,Big East,HIGH,OPEN,47,51,
Air Force,2005,Joe Scott,MWC,MID,OPEN,16,67,
Ball State,2050,Michael Lewis,MAC,LOW,OPEN,41,52,
Cal State Bakersfield,2934,Mike Scott,Big West,LOW,OPEN,8,24,
Eastern Michigan,2199,Stan Heath,MAC,LOW,OPEN,38,55,
Lamar,2320,Alvin Brooks,Southland,LOW,OPEN,51,46,
Little Rock,2031,Darrell Walker,OVC,LOW,OPEN,52,47,
Northern Illinois,2459,Rashon Burno,MAC,LOW,OPEN,26,66,
San Diego,301,Steve Lavin,WCC,MID,OPEN,36,63,
St. Bonaventure,179,Mark Schmidt,A-10,MID,OPEN,57,41,
Tarleton State,2627,Billy Gillipsie,WAC,LOW,OPEN,51,47,
Tennessee Tech,2635,John Pelphrey,OVC,LOW,OPEN,38,56,
Western Michigan,2711,DJ Stephens,MAC,LOW,OPEN,34,61,
UL Monroe,2433,Phil Cunningham,Sun Belt,LOW,OPEN,4,28,
Kansas City,140,Marvin Menzies,Summit,LOW,OPEN,33,63,
Boston College,103,Earl Grant,ACC,MID,OPEN,43,55,
Southern Indiana,88,Stan Gouard,OVC,LOW,HOT SEAT,25,67,
Wagner,2681,Donald Copeland,NEC,LOW,HOT SEAT,45,49,
Arizona State,9,Bobby Hurley,Big 12,MID,OPEN,43,53,
Dartmouth,159,Dave McLaughlin,IVY,LOW,OPEN,31,51,
Syracuse,183,Red Autry,ACC,HIGH,OPEN,49,48,
Florida International,2229,Jeremy Ballard,CUSA,LOW,OPEN,36,62,